Organism Name,# of essential genes,NCBI Taxonomy ID
Brenneria sp. EniD312,1742,598467
Brevibacterium casei,1090,1229781
Brevibacterium linens,673,321955
Brevibacterium massiliense,214,1176165
Brevibacterium mcbrellneri,654,585530
Brevibacterium senegalense,1023,1033736
Brevibacterium sp. VCM10,1099,1381751
Brevundimonas aveniformis,610,1121123
Brevundimonas bacteroides,812,1121124
Brevundimonas diminuta 4704,1094,1035191
Brevundimonas naejangsanensis,563,588932
Brevundimonas sp. BAL3,1493,391600
Brevundimonas subvibrioides,563,633149
Bryobacter aggregatus,1774,1340493
Buchnera aphidicola Ak,227,1005090
Buchnera aphidicola BCc,150,372461
Buchnera aphidicola Ctu,161,261317
Buchnera aphidicola G002,236,1009858
Buchnera aphidicola Sg,226,198804
Buchnera aphidicola Ua,224,1005057
Budvicia aquatica,1942,1111728
Burkholderia acidipaludis,989,1218074
Burkholderia ambifaria,1512,339670
Burkholderia bannensis,3556,1218075
Burkholderia bryophila,2968,1169143
Burkholderia cenocepacia,1584,216591
Burkholderia cepacia,1863,292
Burkholderia dilworthii,3362,948106
Burkholderia ferrariae,2869,1218076
Burkholderia gladioli,2124,999541
Burkholderia glumae,1627,626418
Burkholderia grimmiae,3188,1071679
Burkholderia mallei,374,243160
Burkholderia mimosarum,3614,1038869
Burkholderia multivorans,1512,395019
Burkholderia nodosa,4204,1121127
Burkholderia oklahomensis,925,342113
Burkholderia phenoliruptrix,2043,1229205
Burkholderia phymatum,1847,391038
Burkholderia phytofirmans,2062,398527
Burkholderia pseudomallei ABCPW111,1529,1434929
Burkholderia pseudomallei K96243,1284,272560
Burkholderia rhizoxinica,528,882378
Burkholderia sacchari,2728,159450
Burkholderia sordidicola,4313,196367
Burkholderia sp. 9120,473,1500897
Burkholderia sp. CCGE1001,1553,640510
Burkholderia sp. CCGE1002,1859,640511
Burkholderia sp. CCGE1003,1904,640512
Burkholderia sp. JPY347,2601,667632
Burkholderia sp. K24,2850,1472716
Burkholderia sp. lig30,2681,1192124
Burkholderia sp. MP1,3711,1458357
Burkholderia sp. WSM2230,651,944435
Burkholderia sp. YI23,1440,1097668
Burkholderia terrae,4109,1218084
Burkholderia vietnamiensis,1845,269482
Burkholderia xenovorans,2639,266265
Burkholderiaceae sp. Mortierella,758,1562701
Burkholderiales bacterium 1147,516,469610
Burkholderiales bacterium JOSHI001,384,864051
Buttiauxella agrestis,2057,1006004
Caedibacter acanthamoebae,155,244581
Caenispirillum salinarum,2143,1238182
Caldimonas manganoxidans,1265,1265502
Calditerrivibrio nitroreducens,478,768670
Calothrix sp. 3363,1148,1337936
Calothrix sp. PCC6303,1115,1170562
Calothrix sp. PCC7103,3978,32057
Calothrix sp. PCC7507,1476,99598
Campylobacter coli 76339,379,1367491
Campylobacter concisus 13826,373,360104
Campylobacter concisus ATCC51562,298,1242969
Campylobacter cuniculorum,362,1121267
Campylobacter fetus 8240,424,360106
